sampleID	Subtype_mRNA	Subtype_DNAmeth	Subtype_protein	Subtype_miRNA	Subtype_CNA	Subtype_Integrative	Subtype_other	Subtype_Selected
TCGA-OR-A5J1-01	steroid-phenotype-high+proliferation	CIMP-high	NA	miRNA_1	Quiet	COC3	C1A	ACC.CIMP-high
TCGA-OR-A5J2-01	steroid-phenotype-high+proliferation	CIMP-low	1	miRNA_1	Noisy	COC3	C1A	ACC.CIMP-low
TCGA-OR-A5J3-01	steroid-phenotype-high	CIMP-intermediate	3	miRNA_6	Chromosomal	COC2	C1A	ACC.CIMP-intermediate
TCGA-OR-A5J4-01	NA	CIMP-high	NA	miRNA_6	Chromosomal	NA	NA	ACC.CIMP-high
TCGA-OR-A5J5-01	steroid-phenotype-high	CIMP-intermediate	NA	miRNA_2	Chromosomal	COC2	C1A	ACC.CIMP-intermediate
TCGA-OR-A5J6-01	steroid-phenotype-low 	CIMP-low	2	miRNA_1	Noisy	COC1	C1B	ACC.CIMP-low
TCGA-OR-A5J7-01	steroid-phenotype-high+proliferation	CIMP-high	3	miRNA_6	Noisy	COC3	C1A	ACC.CIMP-high
TCGA-OR-A5J8-01	steroid-phenotype-low+proliferation	CIMP-intermediate	2	miRNA_2	Noisy	COC2	C1A	ACC.CIMP-intermediate
TCGA-OR-A5J9-01	steroid-phenotype-high	CIMP-high	1	miRNA_1	Chromosomal	COC3	C1A	ACC.CIMP-high
TCGA-OR-A5JA-01	steroid-phenotype-high	CIMP-high	3	miRNA_5	Chromosomal	COC1	C1A	ACC.CIMP-high
TCGA-OR-A5JB-01	steroid-phenotype-low+proliferation	CIMP-low	NA	miRNA_2	Noisy	COC2	C1A	ACC.CIMP-low
TCGA-OR-A5JC-01	steroid-phenotype-high	CIMP-intermediate	NA	miRNA_5	Chromosomal	COC1	C1B	ACC.CIMP-intermediate
TCGA-OR-A5JD-01	steroid-phenotype-low 	CIMP-low	NA	miRNA_6	Chromosomal	COC1	C1B	ACC.CIMP-low
TCGA-OR-A5JE-01	steroid-phenotype-high+proliferation	CIMP-high	NA	miRNA_4	Noisy	COC3	C1A	ACC.CIMP-high
TCGA-OR-A5JF-01	steroid-phenotype-high	CIMP-intermediate	NA	miRNA_6	Chromosomal	COC2	C1A	ACC.CIMP-intermediate
TCGA-OR-A5JG-01	steroid-phenotype-high	CIMP-high	NA	miRNA_4	Chromosomal	COC3	C1A	ACC.CIMP-high
TCGA-OR-A5JH-01	NA	NA	NA	NA	Chromosomal	NA	NA	ACC.NA
TCGA-OR-A5JI-01	steroid-phenotype-low 	CIMP-intermediate	NA	miRNA_2	Chromosomal	COC2	C1B	ACC.CIMP-intermediate
TCGA-OR-A5JJ-01	steroid-phenotype-high	CIMP-intermediate	NA	miRNA_4	Chromosomal	COC2	C1A	ACC.CIMP-intermediate
TCGA-OR-A5JK-01	steroid-phenotype-low 	CIMP-low	NA	miRNA_1	Chromosomal	COC1	C1B	ACC.CIMP-low
TCGA-OR-A5JL-01	steroid-phenotype-high	CIMP-low	NA	miRNA_4	Chromosomal	COC1	C1B	ACC.CIMP-low
TCGA-OR-A5JM-01	steroid-phenotype-high+proliferation	CIMP-high	NA	miRNA_3	Noisy	COC3	C1A	ACC.CIMP-high
TCGA-OR-A5JO-01	steroid-phenotype-low+proliferation	CIMP-low	NA	miRNA_2	Quiet	COC2	C1B	ACC.CIMP-low
TCGA-OR-A5JP-01	steroid-phenotype-high+proliferation	CIMP-high	3	miRNA_1	Noisy	COC3	C1A	ACC.CIMP-high
TCGA-OR-A5JQ-01	steroid-phenotype-low 	CIMP-low	NA	miRNA_6	Chromosomal	COC1	C1B	ACC.CIMP-low
TCGA-OR-A5JR-01	steroid-phenotype-low 	CIMP-low	2	miRNA_5	Chromosomal	COC1	C1B	ACC.CIMP-low
TCGA-OR-A5JS-01	steroid-phenotype-high+proliferation	CIMP-intermediate	1	miRNA_6	Noisy	COC3	C1A	ACC.CIMP-intermediate
TCGA-OR-A5JT-01	steroid-phenotype-low 	CIMP-low	2	miRNA_5	Chromosomal	COC1	C1B	ACC.CIMP-low
TCGA-OR-A5JU-01	NA	NA	NA	NA	Quiet	NA	NA	ACC.NA
TCGA-OR-A5JV-01	steroid-phenotype-low 	CIMP-low	2	miRNA_5	Chromosomal	COC1	C1B	ACC.CIMP-low
TCGA-OR-A5JW-01	steroid-phenotype-high	CIMP-intermediate	3	miRNA_6	Chromosomal	COC2	C1A	ACC.CIMP-intermediate
TCGA-OR-A5JX-01	steroid-phenotype-high	CIMP-low	NA	miRNA_1	Chromosomal	COC1	C1B	ACC.CIMP-low
TCGA-OR-A5JY-01	steroid-phenotype-high+proliferation	CIMP-high	1	miRNA_2	Noisy	COC3	C1A	ACC.CIMP-high
TCGA-OR-A5JZ-01	steroid-phenotype-low 	CIMP-low	2	miRNA_5	Chromosomal	COC1	C1B	ACC.CIMP-low
TCGA-OR-A5K0-01	steroid-phenotype-high+proliferation	CIMP-high	1	miRNA_3	Noisy	COC3	C1A	ACC.CIMP-high
TCGA-OR-A5K1-01	steroid-phenotype-low 	CIMP-low	2	miRNA_5	Chromosomal	COC1	C1B	ACC.CIMP-low
TCGA-OR-A5K2-01	steroid-phenotype-high+proliferation	CIMP-high	NA	miRNA_6	Noisy	COC3	C1A	ACC.CIMP-high
TCGA-OR-A5K3-01	steroid-phenotype-low 	CIMP-intermediate	2	miRNA_6	Chromosomal	COC1	C1B	ACC.CIMP-intermediate
TCGA-OR-A5K4-01	steroid-phenotype-low 	CIMP-low	1	miRNA_4	Chromosomal	COC1	C1B	ACC.CIMP-low
TCGA-OR-A5K5-01	steroid-phenotype-high+proliferation	CIMP-high	3	miRNA_3	Noisy	COC3	C1A	ACC.CIMP-high
TCGA-OR-A5K6-01	steroid-phenotype-high+proliferation	CIMP-intermediate	3	miRNA_1	Noisy	COC3	C1A	ACC.CIMP-intermediate
TCGA-OR-A5K8-01	steroid-phenotype-high	CIMP-intermediate	3	miRNA_1	Chromosomal	COC1	C1B	ACC.CIMP-intermediate
TCGA-OR-A5K9-01	steroid-phenotype-high+proliferation	CIMP-high	NA	miRNA_1	Noisy	COC3	C1A	ACC.CIMP-high
TCGA-OR-A5KB-01	NA	NA	NA	NA	Noisy	NA	NA	ACC.NA
TCGA-OR-A5KO-01	steroid-phenotype-high	CIMP-intermediate	3	miRNA_5	Chromosomal	COC1	C1A	ACC.CIMP-intermediate
TCGA-OR-A5KP-01	NA	NA	NA	NA	Noisy	NA	NA	ACC.NA
TCGA-OR-A5KQ-01	NA	NA	NA	NA	Quiet	NA	NA	ACC.NA
TCGA-OR-A5KS-01	NA	NA	NA	NA	Chromosomal	NA	NA	ACC.NA
TCGA-OR-A5KT-01	steroid-phenotype-low+proliferation	CIMP-low	NA	miRNA_6	Quiet	COC2	C1A	ACC.CIMP-low
TCGA-OR-A5KU-01	steroid-phenotype-high	CIMP-intermediate	2	miRNA_2	Chromosomal	COC2	C1B	ACC.CIMP-intermediate
